Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Afghanistan,2999,2917,2698,2953,2956,2737,2971,2918,2935,2534,2512,2658,2721,2713,2752,2824,2489,2621,2621,2478,2484,2480,2524,2452,2403,2397,2727,2518,2462,2314,2044,1891,1910,1820,1844,1843,1874,1903,1852,1790,1737,1826,1892,1967,1948,1966,2046,2041,2081,2104,2107
Albania,2223,2240,2156,2270,2254,2255,2262,2343,2404,2415,2360,2386,2430,2493,2495,2681,2776,2689,2607,2598,2675,2664,2797,2721,2567,2690,2497,2593,2566,2561,2574,2657,2797,2880,2717,2837,2725,2725,2797,2734,2800,2861,2769,2787,2870,2855,2866,2896,2935,2987,3023
Algeria,1619,1569,1528,1540,1591,1571,1647,1706,1705,1675,1720,1849,1851,1984,2058,2047,2209,2344,2445,2566,2597,2570,2553,2500,2613,2627,2631,2696,2760,2754,2733,2865,2865,2763,2785,2784,2733,2792,2843,2812,2886,2925,2970,2987,2958,3047,3041,3048,3110,3142,3217
Angola,1798,1819,1853,1862,1877,1890,1921,1856,1946,1965,2002,1958,1915,1876,1858,1887,1952,1991,1966,1967,1886,1758,1729,1673,1687,1644,1632,1605,1586,1641,1611,1625,1564,1644,1687,1731,1732,1752,1805,1792,1833,1915,1983,2030,2077,2119,2173,2245,2303,2345,2407
Antigua and Barbuda,2008,2185,2052,2126,2222,2172,1959,2007,2055,2240,2165,1957,1863,1799,1857,1791,1711,1650,1745,1971,2045,1951,2023,2248,2191,2214,2266,2364,2489,2467,2532,2545,2376,2255,2188,2190,2163,2154,2158,2150,2085,2069,2071,2107,2326,2329,2416,2382,2310,2311,2396
Argentina,3106,3078,3031,3077,3183,3141,3218,3266,3304,3333,3174,3060,3011,3197,3259,3187,3171,3227,3203,3222,3199,3060,2990,3034,3115,3029,3097,3012,2960,2911,3008,3077,3116,3155,3163,3155,3134,3167,3266,3257,3216,2985,3011,3026,3102,3113,3138,3156,3130,3157,3155
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184,2103,2251,2276,2420,2330,2312,2281,2235,2242,2291,2458,2554,2657,2755,2791,2833,2784,2786,2809
Asia,1805,1867,1882,1929,1963,1994,1987,1978,1988,2059,2023,2019,2075,2048,2081,2042,2102,2189,2171,2187,2214,2271,2354,2372,2356,2359,2380,2405,2436,2414,2402,2432,2444,2482,2526,2539,2553,2565,2582,2591,2578,2571,2577,2587,2600,2624,2667,2693,2701,2735,2757
Australia,3087,3110,3162,3141,3090,3161,3102,3122,3125,3155,3182,3222,3096,3014,3089,3110,3069,3022,3008,3054,3068,3099,3036,3083,3121,3078,3102,3110,3124,3164,3104,3106,3033,3040,3091,3063,3087,3007,3006,2999,3078,3076,3116,3072,3122,3167,3213,3212,3205,3227,3265
Austria,3191,3193,3248,3270,3220,3232,3194,3221,3153,3217,3230,3207,3294,3201,3142,3243,3192,3213,3283,3355,3348,3400,3360,3361,3374,3429,3420,3422,3478,3509,3556,3546,3508,3556,3582,3630,3578,3712,3776,3803,3815,3753,3711,3696,3734,3784,3798,3784,3793,3777,3784
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2318,2235,2112,2115,2262,2076,2119,2279,2395,2463,2585,2706,2842,2918,2912,2890,2868,2909,2948,2952
Bahamas,2447,2389,2378,2428,2447,2557,2497,2551,2592,2615,2594,2517,2456,2398,2341,2360,2216,2177,2264,2627,2499,2749,2686,2655,2702,2741,2737,2788,2777,2714,2607,2503,2420,2421,2535,2536,2651,2601,2704,2777,2764,2725,2686,2661,2646,2623,2603,2585,2614,2584,2575
Bangladesh,2154,2128,2174,2158,2122,2111,1970,2073,2127,2200,2034,1877,1977,2054,1946,2091,1899,2032,2084,2023,1998,2030,2052,2029,2068,2066,2136,2108,2085,2111,2116,2111,2010,2003,2043,2048,2096,2161,2266,2258,2331,2313,2350,2382,2372,2372,2417,2386,2425,2439,2429
Barbados,2512,2575,2648,2609,2592,2610,2806,2706,2700,2814,3017,2906,2965,2857,2794,2856,2877,2976,2881,3050,3041,2934,2981,2927,2917,3067,3112,3085,3133,3106,3008,2983,2912,2905,2867,2904,2980,2827,2951,2841,2869,2837,2890,2726,2836,2839,2879,2962,3049,3060,3047
Belarus,3095,3157,3204,3206,3214,3209,3240,3300,3300,3355,3331,3284,3325,3357,3341,3404,3366,3387,3384,3378,3355,3377,3386,3388,3380,3364,3404,3395,3348,3372,3032,3099,3194,3125,3195,3284,3282,3219,3117,2993,3046,2981,2821,2901,2987,3084,3186,3202,3129,3168,3253
Belgium,2923,2908,3007,3061,2966,3067,3088,3032,3156,3068,3193,3103,3233,3217,3165,3163,3159,3148,3139,3273,3270,3383,3371,3452,3403,3441,3413,3552,3473,3513,3560,3649,3598,3571,3554,3591,3665,3654,3670,3767,3786,3775,3745,3747,3733,3764,3772,3767,3756,3763,3793
Belize,2123,2228,2274,2267,2274,2256,2286,2257,2245,2279,2305,2318,2314,2380,2413,2394,2437,2519,2551,2652,2665,2629,2496,2499,2474,2448,2542,2504,2439,2484,2521,2707,2690,2649,2693,2647,2660,2651,2640,2688,2757,2778,2806,2776,2818,2800,2793,2719,2763,2839,2761
