"","max kcal","min kcal","trend g","unit root test (Dickey-Fuller)","absolute volatility \[Sigma]","relative volatility \[Rho]","persistence \[Pi]","autocorrelation test (Ljung-Box)","normality of residuals (Kolmogorov-Smirnov)","candidate models (AIC)"
"Afghanistan",2999,1737,-17.84,0.00000006,132.95418158,-2.72629433,0,0.72472914,0.03430502,"{{MAProcess[0], 493.}, {MAProcess[1], 493.433}, {ARProcess[1], 493.723}, {ARMAProcess[1, 1], 497.975}}"
"Albania",3023,2156,16.0,0.00000003,77.23799556,-1.41368736,-0.28342191,0.119262,0.43793942,"{{MAProcess[1], 440.689}, {ARProcess[1], 441.276}, {MAProcess[2], 442.484}, {MAProcess[0], 443.463}, {ARMAProcess[1, 1], 444.706}, {ARMAProcess[1, 2], 449.804}}"
"Algeria",3217,1528,31.96,0.00000536,58.45578158,0.08548527,0,0.17496752,0.47882981,"{{MAProcess[0], 410.827}, {MAProcess[1], 412.397}, {ARProcess[1], 412.464}, {ARMAProcess[1, 1], 415.303}}"
"Angola",2407,1564,12.18,0.00002471,41.73795615,-0.71338079,0.55632303,0.00149315,0.19381532,"{{ARProcess[2], 381.141}, {ARProcess[3], 382.372}, {ARMAProcess[3, 1], 384.01}, {ARProcess[1], 384.347}, {ARMAProcess[1, 1], 387.229}, {MAProcess[0], 388.994}, {MAProcess[1], 389.075}, {ARMAProcess[2, 1], 400.804}}"
"Antigua and Barbuda",2545,1650,7.76,0.00000095,101.71972473,-5.55410598,0,0.39672738,0.69395096,"{{MAProcess[0], 466.222}, {MAProcess[1], 466.532}, {ARProcess[1], 466.962}, {ARMAProcess[1, 1], 468.787}}"
"Argentina",3333,2911,0.98,0.00000065,73.17881934,-36.33613232,0,0.0376287,0.62297826,"{{MAProcess[0], 433.291}, {MAProcess[1], 434.243}, {ARProcess[1], 434.492}, {ARMAProcess[1, 1], 437.789}}"
"Australia",3265,2999,3.56,0.00000006,45.50303726,-5.39087602,0,0.33107265,0.06520839,"{{MAProcess[0], 385.778}, {MAProcess[1], 386.347}, {ARProcess[1], 386.745}, {ARMAProcess[1, 1], 387.941}}"
"Austria",3815,3142,11.86,0.00000008,47.05146544,-0.98361996,0,0.33684837,0.68151954,"{{MAProcess[0], 389.124}, {MAProcess[1], 389.478}, {ARProcess[1], 389.686}, {ARMAProcess[1, 1], 393.806}}"
"Bahamas",2788,2177,2.56,0.0000001,87.25896172,-16.04276596,0,0.38667941,0.00851071,"{{MAProcess[0], 450.888}, {ARProcess[1], 452.623}, {MAProcess[1], 452.749}, {ARMAProcess[1, 1], 455.359}}"
"Bangladesh",2439,1877,5.5,0.00000002,68.36456791,-5.21496072,-0.26941451,0.35907046,0.0653077,"{{MAProcess[1], 428.485}, {ARProcess[1], 429.484}, {MAProcess[2], 429.764}, {MAProcess[0], 431.251}, {ARMAProcess[1, 1], 435.098}, {ARMAProcess[1, 2], 437.812}}"
"Barbados",3133,2512,10.7,0.00000002,82.09934184,-2.83641784,-0.30377627,0.2655455,0.56314194,"{{ARProcess[1], 446.793}, {MAProcess[1], 446.809}, {ARProcess[2], 448.713}, {ARMAProcess[1, 1], 448.873}, {MAProcess[0], 449.634}, {ARMAProcess[2, 1], 451.85}}"
"Belarus",3404,2821,3.16,0.00000019,75.86629291,-11.00416027,0,0.3623293,0.01514428,"{{MAProcess[0], 436.897}, {MAProcess[1], 438.897}, {ARProcess[1], 438.897}, {ARMAProcess[1, 1], 440.736}}"
"Belgium",3793,2908,17.4,0.00000001,52.7730476,-0.51646689,-0.51995724,0.00024698,0.00205117,"{{ARProcess[1], 402.6}, {MAProcess[1], 404.238}, {ARProcess[2], 404.581}, {ARMAProcess[1, 1], 405.815}, {MAProcess[0], 416.36}, {ARMAProcess[2, 1], 430.19}}"
"Belize",2839,2123,12.76,0.0000004,53.82919654,-1.10929454,0,0.6026419,0.28861319,"{{MAProcess[0], 402.582}, {MAProcess[1], 404.541}, {ARProcess[1], 404.549}, {ARMAProcess[1, 1], 408.782}}"
"Benin",2594,1596,17.16,0.00000001,81.19956556,-1.36595471,-0.52105758,0.00626592,0.18577918,"{{MAProcess[2], 447.691}, {MAProcess[1], 447.737}, {ARMAProcess[1, 1], 448.255}, {ARMAProcess[1, 2], 449.997}, {ARProcess[1], 450.045}, {MAProcess[3], 451.566}, {ARMAProcess[1, 3], 452.393}, {MAProcess[0], 454.888}}"
"Bermuda",3105,2446,3.84,0.00000009,75.9798289,-8.89320689,0,0.7657291,0.5482577,"{{MAProcess[0], 437.047}, {ARProcess[1], 438.689}, {MAProcess[1], 438.76}, {ARMAProcess[1, 1], 440.841}}"
